http://www.wikidata.org/entity/Q116184543, 978-1-61383-265-3, 'Salem's Lot, Stephen King, Q39829
http://www.wikidata.org/entity/Q60411469, 978-1-4516-2728-2, 11/22/63, Stephen King, Q39829
http://www.wikidata.org/entity/Q60411058, 978-0-684-85350-5, Bag of Bones, Stephen King, Q39829
http://www.wikidata.org/entity/Q60411185, 978-0-7432-9233-7, Cell, Stephen King, Q39829
http://www.wikidata.org/entity/Q60410995, 978-0-670-22026-7, Christine, Stephen King, Q39829
http://www.wikidata.org/entity/Q60411688, 978-0-670-86836-0, Desperation, Stephen King, Q39829
http://www.wikidata.org/entity/Q60411210, 978-0-670-27266-2, Different Seasons, Stephen King, Q39829
http://www.wikidata.org/entity/Q58879406, 978-0-7432-1138-3, Dreamcatcher, Stephen King, Q39829
http://www.wikidata.org/entity/Q58876944, 978-1-4165-5251-2, Duma Key, Stephen King, Q39829
http://www.wikidata.org/entity/Q56044580, 978-1-5011-8098-9, The Outsider (hardback), Stephen King, Q39829
http://www.wikidata.org/entity/Q58848030, 978-0-670-84650-4, Gerald's Game, Stephen King, Q39829
http://www.wikidata.org/entity/Q60411519, 978-0-684-85351-2, Hearts in Atlantis, Stephen King, Q39829
http://www.wikidata.org/entity/Q58876946, 978-0-670-85503-2, Insomnia, Stephen King, Q39829
http://www.wikidata.org/entity/Q60411764, 978-0-7432-8941-2, Lisey's Story, Stephen King, Q39829
http://www.wikidata.org/entity/Q58879580, 978-0-670-83953-7, Needful Things, Stephen King, Q39829
http://www.wikidata.org/entity/Q58879302, 978-0-385-18244-7, Pet Sematary, Stephen King, Q39829
http://www.wikidata.org/entity/Q60411178, 978-0-670-85869-9, Rose Madder, Stephen King, Q39829
http://www.wikidata.org/entity/Q58847805, 978-0-8439-5584-2, The Colorado Kid, Stephen King, Q39829
http://www.wikidata.org/entity/Q58879459, 978-0-670-82982-8, The Dark Half, Stephen King, Q39829
http://www.wikidata.org/entity/Q58881397, 978-1-880418-38-3, Wizard and Glass, Stephen King, Q39829
http://www.wikidata.org/entity/Q58847811, 978-0-670-26077-5, The Dead Zone, Stephen King, Q39829
http://www.wikidata.org/entity/Q70469474, 978-0-451-11508-9, The Running Man, Stephen King, Q39829
http://www.wikidata.org/entity/Q60411205, 978-0-385-12167-5, The Shining, Stephen King, Q39829
